screen_name,lang,created_at,fav_count,retweet_count,text,location
AriBistro,in,10/2/2020 6:00,0,20,"RT @geloraco: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi
https://t.co/3NbXRfHb9E","Gaithersburg, MD"
ellstormy,in,10/2/2020 5:59,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",Jaksel
Udien_Marbot,in,10/2/2020 5:56,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","Kota Pekalongan, Jawa Tengah"
superturfa,und,10/2/2020 5:32,0,0,"ðŸ¥°ðŸ¥°ðŸ¥°
https://t.co/2NzQGkPguw",Singapore
AliLenon1,in,10/2/2020 5:18,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",singapore
BentengSumbar,in,10/2/2020 5:11,0,0,Mantap! Sandiaga Uno Jadi Jurkam Gibran-Teguh di Pilkada Solo 2020 https://t.co/zYq3A5jHOV,Padang
AriantiDimar,in,10/2/2020 5:02,0,0,"Lebih lanjut Ardianto mengatakan, saat ini pihaknya sedang mengkaji persiapan deklarasi tim pemenangan untuk paslon Gibran-Teguh.","Pangalengan, Jawa Barat"
AriantiDimar,in,10/2/2020 5:02,0,0,Mantan Wakil Gubernur DKI Jakarta ini dimungkinkan akan mengkampanyekan pasangan Gibran-Teguh juga secara virtual.,"Pangalengan, Jawa Barat"
SarasfatiJ,in,10/2/2020 5:02,0,0,"Lebih lanjut Ardianto mengatakan, saat ini pihaknya sedang mengkaji persiapan deklarasi tim pemenangan untuk paslon Gibran-Teguh.","Manado, Indonesia"
SarasfatiJ,in,10/2/2020 5:02,0,0,Mantan Wakil Gubernur DKI Jakarta ini dimungkinkan akan mengkampanyekan pasangan Gibran-Teguh juga secara virtual.,"Manado, Indonesia"
sukron_sabilah,in,10/2/2020 5:02,0,0,"Lebih lanjut Ardianto mengatakan, saat ini pihaknya sedang mengkaji persiapan deklarasi tim pemenangan untuk paslon Gibran-Teguh.",Bandung Lautan Asmara
AriantiDimar,in,10/2/2020 5:02,0,0,"Termasuk model kampanye yang digunakan Sandiaga untuk paslon Gibran-Teguh. Menurutnya, antara Gibran dengan Sandi, sangat bisa disatukan.","Pangalengan, Jawa Barat"
