screen_name,lang,created_at,fav_count,retweet_count,text,location
jawapos,in,9/23/2020 15:08,2,0,"Sah Jadi Paslon, Gibran-Teguh &amp; Bagyo-Supardjo Tak Soalkan Nomor Urut https://t.co/qPEtnj0ZQn","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
mediaindonesia,in,9/23/2020 12:21,0,0,Rapat Pleno tertutup KPU Surakarta menetapkan pasangan Gibran-Teguh dan Bagyo-Supardjo maju dalam Pilkada  Wali Kot… https://t.co/GAcUyhTATN,Jakarta - Indonesia
kompascom,in,9/23/2020 7:17,0,0,Dua paslon yakni Gibran Rakabuming Raka-Teguh Prakosa dan Bagyo Wahyono-FX Supardjo (Bajo) akan bertarung dalam Pil… https://t.co/Ybj8o8pX8s,Indonesia
cakrawala_co,in,9/23/2020 6:21,0,0,KPU Tetapkan Gibran-Teguh dan Bagyo-Supardjo Sebagai Paslon Di Pilwalkot Solo 2020 https://t.co/nazT7TH5xR,Jakarta Capital Region
tribunsolocom,in,9/23/2020 6:05,0,0,"Pengumuman Penetapan Calon Pilkada Solo Online, Gibran – Teguh &amp; Bagyo – Supardjo Tak Datang ke KPU https://t.co/tClDtJQ2uM","Karanganyar, Jawa Tengah"
Abi_Asdad,in,9/23/2020 5:45,0,0,"""Asyik pilkadanya jadi ya..."" teriak rakyat yang lagi pusing ganti masker  scuba nya, dan di-aminin sama tenaga kes… https://t.co/eLNJ4H9zEv",Bandung
rudy_susana,in,9/23/2020 5:29,0,1,RT @kumparan: KPU menyatakan paslon Gibran-Teguh dan paslon Bagyo-Supardjo sebagai Calon Wali Kota Solo. #publisherstory https://t.co/iWBLw…,
BRATASE70170864,in,9/23/2020 5:17,1,0,KPU Tetapkan Gibran-Teguh dan Bagyo-Supardjo Paslon di Pilwalkot Solo 2020 https://t.co/LWViK7RR0O,JAKARTA - INDONESIA
kumparan,in,9/23/2020 5:11,1,1,KPU menyatakan paslon Gibran-Teguh dan paslon Bagyo-Supardjo sebagai Calon Wali Kota Solo. #publisherstory https://t.co/iWBLwfFFpA,
kumparan,in,9/23/2020 4:58,0,0,"""Ada dua pasangan yang kami tetapkan, yakni Gibran-Teguh dan Bagyo-Supardjo,"" ujar Ketua KPU Solo, Nurul Sutarti. https://t.co/pL5hiaWAK7",
